year,month,day,hour,price_PT,price_ES,date
2023,1,1,1,0.0,0.0,2023-01-01
2023,1,1,2,0.0,0.0,2023-01-01
2023,1,1,3,0.0,0.0,2023-01-01
2023,1,1,4,0.0,0.0,2023-01-01
2023,1,1,5,0.0,0.0,2023-01-01
2023,1,1,6,0.0,0.0,2023-01-01
2023,1,1,7,0.0,0.0,2023-01-01
2023,1,1,8,0.0,0.0,2023-01-01
2023,1,1,9,0.0,0.0,2023-01-01
2023,1,1,10,0.0,0.0,2023-01-01
2023,1,1,11,0.0,0.0,2023-01-01
2023,1,1,12,0.0,0.0,2023-01-01
2023,1,1,13,0.0,0.0,2023-01-01
2023,1,1,14,0.1,0.1,2023-01-01
2023,1,1,15,0.1,0.1,2023-01-01
2023,1,1,16,0.01,0.01,2023-01-01
2023,1,1,17,1.0,1.0,2023-01-01
2023,1,1,18,4.16,4.16,2023-01-01
2023,1,1,19,15.1,15.1,2023-01-01
2023,1,1,20,19.51,19.51,2023-01-01
2023,1,1,21,24.61,24.61,2023-01-01
2023,1,1,22,40.07,40.07,2023-01-01
2023,1,1,23,40.07,40.07,2023-01-01
2023,1,2,0,16.0,16.0,2023-01-02
2023,1,2,1,61.38,61.38,2023-01-02
2023,1,2,2,42.17,42.17,2023-01-02
2023,1,2,3,42.0,42.0,2023-01-02
2023,1,2,4,42.07,42.07,2023-01-02
2023,1,2,5,42.17,42.17,2023-01-02
2023,1,2,6,63.22,63.22,2023-01-02
2023,1,2,7,85.0,85.0,2023-01-02
2023,1,2,8,105.36,105.36,2023-01-02
2023,1,2,9,119.46,131.0,2023-01-02
2023,1,2,10,120.14,131.58,2023-01-02
2023,1,2,11,121.21,127.0,2023-01-02
2023,1,2,12,125.0,126.07,2023-01-02
2023,1,2,13,126.75,127.0,2023-01-02
2023,1,2,14,126.75,130.0,2023-01-02
2023,1,2,15,128.0,131.0,2023-01-02
2023,1,2,16,128.0,128.0,2023-01-02
2023,1,2,17,129.0,131.88,2023-01-02
2023,1,2,18,140.0,160.0,2023-01-02
2023,1,2,19,174.74,174.74,2023-01-02
2023,1,2,20,165.76,165.76,2023-01-02
2023,1,2,21,153.0,153.0,2023-01-02
2023,1,2,22,141.67,141.67,2023-01-02
2023,1,2,23,134.91,134.91,2023-01-02
2023,1,3,0,124.22,124.22,2023-01-03
2023,1,3,1,130.01,130.01,2023-01-03
2023,1,3,2,120.0,120.0,2023-01-03
2023,1,3,3,118.76,118.76,2023-01-03
2023,1,3,4,115.0,115.0,2023-01-03
2023,1,3,5,113.63,113.63,2023-01-03
2023,1,3,6,116.27,116.27,2023-01-03
2023,1,3,7,138.92,138.92,2023-01-03
2023,1,3,8,142.11,155.59,2023-01-03
2023,1,3,9,148.56,169.17,2023-01-03
2023,1,3,10,158.89,171.18,2023-01-03
2023,1,3,11,154.9,154.9,2023-01-03
2023,1,3,12,146.71,146.71,2023-01-03
2023,1,3,13,133.33,133.33,2023-01-03
2023,1,3,14,130.0,130.0,2023-01-03
2023,1,3,15,126.0,126.0,2023-01-03
2023,1,3,16,120.0,120.0,2023-01-03
2023,1,3,17,135.56,135.56,2023-01-03
2023,1,3,18,156.3,156.3,2023-01-03
2023,1,3,19,169.01,169.01,2023-01-03
